id,player_id,player_name,player_name_short,position,position_sort,game_id,team_id,minutes,points,fg_made,fg_attempted,fg_percentage,three_pt_made,three_pt_attempted,three_pt_percentage,ft_made,ft_attempted,ft_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,technical_fouls,ejected,ortg,usg,url,scraped_timestamp
25,3922,"Pascal Siakam","P. Siakam",F,0,2879652,11,32,16,6,14,42.9,1,3,33.3,3,3,100.0,5,8,13,3,0,1,1,2,0,0,120.9,21.7,/basketball/player/pascal-siakam-3922,"2025-09-03 16:04:42.823928"
26,5120,"Aaron Nesmith","A. Nesmith",F,0,2879652,11,25,10,3,8,37.5,2,6,33.3,2,3,66.7,0,2,2,3,1,1,1,4,0,0,110.0,17.5,/basketball/player/aaron-nesmith-5120,"2025-09-03 16:04:42.823964"
27,3725,"Myles Turner","M. Turner",C,1,2879652,11,26,3,1,9,11.1,0,3,0.0,1,2,50.0,1,3,4,1,0,2,1,2,0,0,43.4,17.8,/basketball/player/myles-turner-3725,"2025-09-03 16:04:42.823995"
28,5679,"Andrew Nembhard","A. Nembhard",G,2,2879652,11,31,17,5,7,71.4,3,5,60.0,4,4,100.0,0,0,0,4,3,0,1,2,0,0,177.0,13.3,/basketball/player/andrew-nembhard-5679,"2025-09-03 16:04:42.824076"
29,5114,"Tyrese Haliburton","T. Haliburton",G,2,2879652,11,23,14,5,12,41.7,3,7,42.9,1,1,100.0,0,1,1,5,2,0,1,1,0,0,119.2,25.0,/basketball/player/tyrese-haliburton-5114,"2025-09-03 16:04:42.824099"
30,3760,"T.J. McConnell","T. McConnell",G,3,2879652,11,24,12,6,12,50.0,0,0,0.0,0,2,0.0,1,8,9,6,4,0,3,2,0,0,93.4,28.2,/basketball/player/tj-mcconnell-3760,"2025-09-03 16:04:42.824127"
31,5109,"Obi Toppin","O. Toppin",F,3,2879652,11,23,20,6,12,50.0,4,7,57.1,4,6,66.7,0,6,6,0,2,0,1,2,0,0,123.3,28.7,/basketball/player/obi-toppin-5109,"2025-09-03 16:04:42.824147"
32,6033,"Ben Sheppard","B. Sheppard",G,3,2879652,11,21,7,3,7,42.9,1,4,25.0,0,0,0.0,1,4,5,0,2,0,0,2,0,0,107.5,14.3,/basketball/player/ben-sheppard-6033,"2025-09-03 16:04:42.824164"
33,5698,"Bennedict Mathurin","B. Mathurin",F,3,2879652,11,14,2,1,6,16.7,0,5,0.0,0,0,0.0,1,3,4,1,2,1,0,0,0,0,58.3,18.4,/basketball/player/bennedict-mathurin-5698,"2025-09-03 16:04:42.824182"
34,6272,"Johnny Furphy","J. Furphy",F,3,2879652,11,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,-,-,/basketball/player/johnny-furphy-6272,"2025-09-03 16:04:42.824200"
35,4155,"Thomas Bryant","T. Bryant",C,3,2879652,11,6,4,1,2,50.0,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,-,-,/basketball/player/thomas-bryant-4155,"2025-09-03 16:04:42.824217"
36,4170,"Tony Bradley","T. Bradley",C,3,2879652,11,6,3,1,2,50.0,0,0,0.0,1,2,50.0,2,0,2,0,0,0,0,0,1,0,-,-,/basketball/player/tony-bradley-4170,"2025-09-03 16:04:42.824234"
37,3021,"James Johnson","J. Johnson",F,3,2879652,11,2,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,-,-,/basketball/player/james-johnson-3021,"2025-09-03 16:04:42.824252"
38,5687,"Jalen Williams","J. Williams",F,0,2879652,25,27,16,6,13,46.2,0,4,0.0,4,5,80.0,0,3,3,1,0,0,3,2,0,0,88.5,30.4,/basketball/player/jalen-williams-5687,"2025-09-03 16:04:42.824298"
39,5697,"Chet Holmgren","C. Holmgren",F,0,2879652,25,24,4,2,9,22.2,0,3,0.0,0,0,0.0,1,5,6,0,0,0,2,2,0,0,42.2,20.9,/basketball/player/chet-holmgren-5697,"2025-09-03 16:04:42.824318"
40,4147,"Isaiah Hartenstein","I. Hartenstein",C,1,2879652,25,16,10,3,4,75.0,0,0,0.0,4,4,100.0,2,2,4,1,1,1,0,2,0,0,186.0,15.9,/basketball/player/isaiah-hartenstein-4147,"2025-09-03 16:04:42.824338"
41,4387,"Shai Gilgeous-Alexander","S. Gilgeous-Alexander",G,2,2879652,25,31,21,7,15,46.7,0,1,0.0,7,8,87.5,0,4,4,2,0,0,8,2,0,0,80.5,38.5,/basketball/player/shai-gilgeous-alexander-4387,"2025-09-03 16:04:42.824356"
42,4808,"Luguentz Dort","L. Dort",G,2,2879652,25,21,3,1,5,20.0,1,5,20.0,0,0,0.0,0,4,4,0,0,0,0,3,0,0,60.3,10.8,/basketball/player/luguentz-dort-4808,"2025-09-03 16:04:42.824373"
43,3952,"Alex Caruso","A. Caruso",G,3,2879652,25,22,0,0,2,0.0,0,1,0.0,0,0,0.0,0,3,3,2,0,1,1,1,0,0,-,6.2,/basketball/player/alex-caruso-3952,"2025-09-03 16:04:42.824391"
44,4462,"Kenrich Williams","K. Williams",F,3,2879652,25,18,3,1,2,50.0,1,2,50.0,0,2,0.0,0,3,3,0,0,0,0,0,0,0,95.2,7.1,/basketball/player/kenrich-williams-4462,"2025-09-03 16:04:42.824409"
45,5412,"Aaron Wiggins","A. Wiggins",F,3,2879652,25,18,5,1,4,25.0,1,4,25.0,2,2,100.0,0,2,2,1,1,1,3,2,0,0,67.7,19.7,/basketball/player/aaron-wiggins-5412,"2025-09-03 16:04:42.824428"
46,5291,"Isaiah Joe","I. Joe",G,3,2879652,25,15,11,3,4,75.0,2,3,66.7,3,3,100.0,0,1,1,1,0,0,1,1,0,0,168.8,18.8,/basketball/player/isaiah-joe-5291,"2025-09-03 16:04:42.824446"
47,5898,"Cason Wallace","C. Wallace",G,3,2879652,25,14,2,1,4,25.0,0,1,0.0,0,0,0.0,0,3,3,0,1,0,0,2,0,0,50.7,13.0,/basketball/player/cason-wallace-5898,"2025-09-03 16:04:42.824463"
48,6289,"Ajay Mitchell","A. Mitchell",G,3,2879652,25,12,2,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,4,0,0,2,0,0,0,61.7,22.8,/basketball/player/ajay-mitchell-6289,"2025-09-03 16:04:42.824481"
49,5690,"Jaylin Williams","J. Williams",C,3,2879652,25,12,7,2,3,66.7,2,3,66.7,1,2,50.0,0,5,5,1,1,0,0,2,0,0,175.7,14.4,/basketball/player/jaylin-williams-5690,"2025-09-03 16:04:42.824498"
50,6279,"Dillon Jones","D. Jones",F,3,2879652,25,7,4,2,2,100.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,0,-,-,/basketball/player/dillon-jones-6279,"2025-09-03 16:04:42.824515"
51,5695,"Ousmane Dieng","O. Dieng",F,3,2879652,25,3,3,1,3,33.3,1,2,50.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,-,-,/basketball/player/ousmane-dieng-5695,"2025-09-03 16:04:42.824532"
52,3922,"Pascal Siakam","P. Siakam",F,0,2879651,11,33,28,9,15,60.0,3,6,50.0,7,8,87.5,2,4,6,5,3,2,6,3,0,0,123.7,30.3,/basketball/player/pascal-siakam-3922,"2025-09-03 16:04:42.824586"
53,5120,"Aaron Nesmith","A. Nesmith",F,0,2879651,11,25,14,5,9,55.6,4,5,80.0,0,0,0.0,3,3,6,0,1,0,2,5,0,0,129.0,18.2,/basketball/player/aaron-nesmith-5120,"2025-09-03 16:04:42.824608"
54,3725,"Myles Turner","M. Turner",C,1,2879651,11,25,13,3,5,60.0,1,2,50.0,6,7,85.7,1,5,6,1,1,0,0,3,0,0,183.0,12.9,/basketball/player/myles-turner-3725,"2025-09-03 16:04:42.824630"
55,5679,"Andrew Nembhard","A. Nembhard",G,2,2879651,11,36,7,3,8,37.5,0,2,0.0,1,1,100.0,2,1,3,3,1,0,4,3,0,0,78.7,14.3,/basketball/player/andrew-nembhard-5679,"2025-09-03 16:04:42.824648"
56,5114,"Tyrese Haliburton","T. Haliburton",G,2,2879651,11,34,4,0,6,0.0,0,4,0.0,4,4,100.0,1,6,7,6,0,0,3,3,0,0,80.3,12.9,/basketball/player/tyrese-haliburton-5114,"2025-09-03 16:04:42.824666"
57,5109,"Obi Toppin","O. Toppin",F,3,2879651,11,22,12,5,11,45.5,1,5,20.0,1,2,50.0,1,3,4,1,1,0,1,0,0,0,109.4,24.1,/basketball/player/obi-toppin-5109,"2025-09-03 16:04:42.824685"
58,3760,"T.J. McConnell","T. McConnell",G,3,2879651,11,22,18,8,14,57.1,1,2,50.0,1,1,100.0,0,4,4,4,2,0,3,3,0,0,115.0,32.7,/basketball/player/tj-mcconnell-3760,"2025-09-03 16:04:42.824702"
59,5698,"Bennedict Mathurin","B. Mathurin",F,3,2879651,11,22,7,2,11,18.2,1,4,25.0,2,4,50.0,6,2,8,1,0,2,1,2,0,0,88.5,25.6,/basketball/player/bennedict-mathurin-5698,"2025-09-03 16:04:42.824720"
60,4170,"Tony Bradley","T. Bradley",C,3,2879651,11,12,4,1,2,50.0,0,0,0.0,2,2,100.0,2,2,4,0,0,0,1,3,0,0,123.9,13.1,/basketball/player/tony-bradley-4170,"2025-09-03 16:04:42.824738"
61,6033,"Ben Sheppard","B. Sheppard",G,3,2879651,11,6,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,0,-,-,/basketball/player/ben-sheppard-6033,"2025-09-03 16:04:42.824756"
62,6272,"Johnny Furphy","J. Furphy",F,3,2879651,11,2,2,1,1,100.0,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,-,-,/basketball/player/johnny-furphy-6272,"2025-09-03 16:04:42.824773"
63,4155,"Thomas Bryant","T. Bryant",C,3,2879651,11,2,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,-,-,/basketball/player/thomas-bryant-4155,"2025-09-03 16:04:42.824790"
64,5687,"Jalen Williams","J. Williams",F,0,2879651,25,35,40,14,25,56.0,3,5,60.0,9,12,75.0,1,5,6,4,1,0,1,4,0,0,142.9,35.9,/basketball/player/jalen-williams-5687,"2025-09-03 16:04:42.824821"
65,5697,"Chet Holmgren","C. Holmgren",F,0,2879651,25,34,9,4,15,26.7,1,3,33.3,0,0,0.0,5,6,11,0,1,3,3,3,0,0,72.4,21.6,/basketball/player/chet-holmgren-5697,"2025-09-03 16:04:42.824840"
66,4147,"Isaiah Hartenstein","I. Hartenstein",C,1,2879651,25,21,4,1,2,50.0,0,0,0.0,2,4,50.0,6,2,8,4,1,1,1,3,0,0,143.2,8.9,/basketball/player/isaiah-hartenstein-4147,"2025-09-03 16:04:42.824858"
67,4387,"Shai Gilgeous-Alexander","S. Gilgeous-Alexander",G,2,2879651,25,38,31,9,21,42.9,0,3,0.0,13,14,92.9,0,2,2,10,2,4,3,4,0,0,129.4,31.7,/basketball/player/shai-gilgeous-alexander-4387,"2025-09-03 16:04:42.824877"
68,4808,"Luguentz Dort","L. Dort",G,2,2879651,25,32,9,3,7,42.9,3,6,50.0,0,0,0.0,5,3,8,3,2,1,1,4,0,0,146.7,10.2,/basketball/player/luguentz-dort-4808,"2025-09-03 16:04:42.824895"
69,3952,"Alex Caruso","A. Caruso",G,3,2879651,25,29,2,1,8,12.5,0,3,0.0,0,0,0.0,1,1,2,2,4,1,1,3,0,0,51.0,12.6,/basketball/player/alex-caruso-3952,"2025-09-03 16:04:42.824913"
70,5412,"Aaron Wiggins","A. Wiggins",F,3,2879651,25,22,14,4,10,40.0,4,7,57.1,2,2,100.0,0,5,5,0,0,1,1,1,0,0,126.3,21.9,/basketball/player/aaron-wiggins-5412,"2025-09-03 16:04:42.824931"
71,5898,"Cason Wallace","C. Wallace",G,3,2879651,25,17,11,4,5,80.0,3,4,75.0,0,0,0.0,1,1,2,0,4,1,0,2,0,0,214.5,12.0,/basketball/player/cason-wallace-5898,"2025-09-03 16:04:42.824950"
72,4462,"Kenrich Williams","K. Williams",F,3,2879651,25,11,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,0,-,3.7,/basketball/player/kenrich-williams-4462,"2025-09-03 16:04:42.824968"
