playerID,URL,nameShort,nameLong,position,positionSort,minutes,ortg,usg,fg,pt3,ft,stl,turnovers,oreb,dreb,ast,blk,personalFouls,technicalFouls,ejected,points,fg_made,fg_attempted,fg_missed,pt3_made,pt3_attempted,pt3_missed,ft_made,ft_attempted,ft_missed
3952,/basketball/player/alex-caruso-3952,A. Caruso,Alex Caruso,G,3,32,114.3,14.1,	4-10,	2-5,	0-0,3,0,2,1,0,1,3,0,0,10,4.0,10.0,6.0,2.0,5.0,3.0,0.0,0.0,0.0
5898,/basketball/player/cason-wallace-5898,C. Wallace,Cason Wallace,G,3,26,140.2,12.1,	4-6,	2-3,	0-0,3,1,2,0,0,0,3,0,0,10,4.0,6.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0
5412,/basketball/player/aaron-wiggins-5412,A. Wiggins,Aaron Wiggins,F,3,12,-,3.8,	0-1,	0-1,	0-0,0,0,0,1,0,0,1,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
4462,/basketball/player/kenrich-williams-4462,K. Williams,Kenrich Williams,F,3,5,-,-,	0-1,	0-1,	0-0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
5695,/basketball/player/ousmane-dieng-5695,O. Dieng,Ousmane Dieng,F,3,1,-,-,	0-0,	0-0,	0-0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6279,/basketball/player/dillon-jones-6279,D. Jones,Dillon Jones,F,3,1,-,-,	0-0,	0-0,	0-0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6289,/basketball/player/ajay-mitchell-6289,A. Mitchell,Ajay Mitchell,G,3,1,-,-,	0-0,	0-0,	0-0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,,Total,Game Total,-,4,"<span style=""font-weight:bold;"">240</span>",-,-,"	<span style=""font-weight:bold;"">35-87</span>","	<span style=""font-weight:bold;"">11-40</span>","	<span style=""font-weight:bold;"">22-31</span>","<span style=""font-weight:bold;"">14</span>","<span style=""font-weight:bold;"">7</span>","<span style=""font-weight:bold;"">13</span>","<span style=""font-weight:bold;"">27</span>","<span style=""font-weight:bold;"">20</span>","<span style=""font-weight:bold;"">8</span>","<span style=""font-weight:bold;"">23</span>",-,-,"<span style=""font-weight:bold;"">103</span>",35.0,87.0,52.0,11.0,40.0,29.0,22.0,31.0,9.0
0,,,,,4,,,,"	<span style=""font-weight:bold;"">40.2%</span>","	<span style=""font-weight:bold;"">27.5%</span>","	<span style=""font-weight:bold;"">71.0%</span>","<span style=""font-weight:bold;"">15.5%</span>","<span style=""font-weight:bold;"">7.6%</span>","<span style=""font-weight:bold;"">28.3%</span>","<span style=""font-weight:bold;"">69.2%</span>","<span style=""font-weight:bold;"">57.1%</span>","<span style=""font-weight:bold;"">19.0%</span>",,,,"<span style=""font-weight:bold;"">1.12</span>",,,,,,,,,
3577,/basketball/player/aaron-gordon-3577,A. Gordon,Aaron Gordon,F,0,47,145.4,21.7,	9-15,	4-8,	8-10,0,2,1,7,5,1,3,0,0,30,9.0,15.0,6.0,4.0,8.0,4.0,8.0,10.0,2.0
